galaxyID,x,y,z,mag_r
4309,6.891522,13.048435,25.422695,-15.617749
4336,6.788713,12.922061,25.559887,-17.812273
4380,6.8753567,12.986593,25.695402,-16.314241
4416,6.8045077,13.065988,25.429424,-17.35618
4453,6.392436,12.8893385,25.526808,-16.165823
4487,6.592991,12.921183,25.595922,-18.0473
4525,6.7778835,12.902764,25.494354,-17.827755
4592,6.7636733,13.586794,24.648361,-16.637798
4631,6.3275247,13.260623,25.352612,-16.667274
4670,5.8486543,13.177337,24.97483,-20.135141
4745,5.6584888,13.551888,24.724312,-17.03167
4780,6.9157667,13.306408,25.69199,-17.626997
4823,5.7591586,13.137147,25.132362,-19.16385
4865,6.3716207,13.655152,24.129566,-18.252663
4908,6.5120807,12.881416,25.475845,-16.170248
4970,6.799126,13.153126,24.901382,-15.869759
5010,6.912631,13.053034,25.267529,-16.007559
5046,6.6143193,12.960161,25.38841,-18.66084
5092,6.0323386,13.405295,24.719927,-16.88854
5125,6.5854955,13.232899,25.21308,-14.994087
5156,6.4412456,13.029023,25.567997,-18.850138
5203,5.4978237,12.820644,25.237318,-15.824092
5230,6.332895,12.302382,25.933962,-17.178577
5265,6.4630604,13.333509,25.447355,-18.650433
5316,6.8561244,13.149727,25.383654,-14.685992
5340,7.122761,12.80218,25.080452,-16.875591
5378,6.3345876,13.504585,24.959686,-17.678062
5416,6.0251107,12.77871,25.406178,-17.90296
5463,6.5353074,13.372122,24.460302,-16.780931
5502,6.284116,13.28037,25.166859,-20.057587
5600,6.698052,13.566987,24.943266,-15.449962
5615,6.681049,13.132934,25.330631,-21.065191
5743,6.195672,13.364316,25.32984,-13.329743
5772,6.2691545,13.281576,25.214647,-15.498981
5797,6.1970105,13.347944,25.379772,-19.85836
5865,6.7974668,12.977643,25.206953,-18.98327
5920,6.7426863,12.603387,26.261282,-22.149534
6128,6.7770114,12.732133,26.382256,-15.699272
6165,6.7389235,12.595079,26.245178,-15.468734
6201,6.703215,12.696167,26.17431,-14.746198
6227,7.2628555,12.021054,26.941154,-17.277525
6261,7.2739778,12.178165,27.340845,-15.646425
6291,6.7261343,13.017493,25.28265,-21.932375
6550,7.026538,12.631169,25.650948,-13.950792
6586,6.30667,13.306036,25.21568,-15.516829
6623,6.618469,12.469042,25.511776,-16.278849
6652,6.2475405,13.631866,25.33201,-16.070269
6686,6.688758,13.360229,24.76162,-20.16172
6742,6.5533986,13.342633,24.327013,-19.674402
6789,6.2986073,12.441648,25.305798,-19.656822
6847,6.4785914,13.441861,24.872465,-19.811493
6888,5.726388,13.056674,24.987638,-18.770079
6937,5.943191,12.976854,25.729729,-19.983368
